name,price,rating,delivery,link
,"1,399.",4 out of 5,"Monday, 7 November",https://www.amazon.in//HP-Multimedia-Wireless-Keyboard-4SC12PA/dp/B07V82W5CN/ref=sr_1_7?crid=309P6O4N3SM5C&keywords=keyboard&qid=1667665610&qu=eyJxc2MiOiI1LjU1IiwicXNhIjoiNC43NiIsInFzcCI6IjMuODEifQ%3D%3D&sprefix=keyboar%2Caps%2C272&sr=8-7
,899.,4.3 out of 5,"Thursday, 10 November",https://www.amazon.in//Redgear-Blaze-backlit-keyboard-aluminium/dp/B073QQR2H2/ref=sr_1_8?crid=309P6O4N3SM5C&keywords=keyboard&qid=1667665610&qu=eyJxc2MiOiI1LjU1IiwicXNhIjoiNC43NiIsInFzcCI6IjMuODEifQ%3D%3D&sprefix=keyboar%2Caps%2C272&sr=8-8
,372.,3.8 out of 5,"Monday, 7 November",https://www.amazon.in//Quantum-QHM-7406-Spill-Resistant-Wired-Keyboard/dp/B08CF4SCNP/ref=sr_1_9?crid=309P6O4N3SM5C&keywords=keyboard&qid=1667665610&qu=eyJxc2MiOiI1LjU1IiwicXNhIjoiNC43NiIsInFzcCI6IjMuODEifQ%3D%3D&sprefix=keyboar%2Caps%2C272&sr=8-9
,"1,149.",4.3 out of 5,"Monday, 7 November",https://www.amazon.in//HP-K500F-Gaming-Keyboard-7ZZ97AA/dp/B08498D67S/ref=sr_1_10?crid=309P6O4N3SM5C&keywords=keyboard&qid=1667665610&qu=eyJxc2MiOiI1LjU1IiwicXNhIjoiNC43NiIsInFzcCI6IjMuODEifQ%3D%3D&sprefix=keyboar%2Caps%2C272&sr=8-10
,799.,4.2 out of 5,"Monday, 7 November",https://www.amazon.in//Zebronics-Zeb-War-Gaming-Keyboard-Mouse/dp/B0814Z58YM/ref=sr_1_13?crid=309P6O4N3SM5C&keywords=keyboard&qid=1667665610&qu=eyJxc2MiOiI1LjU1IiwicXNhIjoiNC43NiIsInFzcCI6IjMuODEifQ%3D%3D&sprefix=keyboar%2Caps%2C272&sr=8-13
,549.,4 out of 5,"Monday, 7 November",https://www.amazon.in//Zebronics-DLK01-Multimedia-Keyboard-White/dp/B07RT67LV1/ref=sr_1_14?crid=309P6O4N3SM5C&keywords=keyboard&qid=1667665610&qu=eyJxc2MiOiI1LjU1IiwicXNhIjoiNC43NiIsInFzcCI6IjMuODEifQ%3D%3D&sprefix=keyboar%2Caps%2C272&sr=8-14
,"2,649.",4.6 out of 5,"Wednesday, 9 November",https://www.amazon.in//Redragon-K617-Keyboard-Mechanical-Supported/dp/B09BVCVTBC/ref=sr_1_15?crid=309P6O4N3SM5C&keywords=keyboard&qid=1667665610&qu=eyJxc2MiOiI1LjU1IiwicXNhIjoiNC43NiIsInFzcCI6IjMuODEifQ%3D%3D&sprefix=keyboar%2Caps%2C272&sr=8-15
,"2,595.",4.4 out of 5,"Monday, 7 November",https://www.amazon.in//Logitech-Multi-Device-Bluetooth-Keyboard-Black/dp/B00MUTWLW4/ref=sr_1_16?crid=309P6O4N3SM5C&keywords=keyboard&qid=1667665610&qu=eyJxc2MiOiI1LjU1IiwicXNhIjoiNC43NiIsInFzcCI6IjMuODEifQ%3D%3D&sprefix=keyboar%2Caps%2C272&sr=8-16
,"1,097.",4.2 out of 5,"Monday, 7 November",https://www.amazon.in//Zebronics-Zeb-Transformer-k-Gaming-Keyboard-Multicolor/dp/B0819JFQJH/ref=sr_1_17?crid=309P6O4N3SM5C&keywords=keyboard&qid=1667665610&qu=eyJxc2MiOiI1LjU1IiwicXNhIjoiNC43NiIsInFzcCI6IjMuODEifQ%3D%3D&sprefix=keyboar%2Caps%2C272&sr=8-17
,549.,4.5 out of 5,"Monday, 7 November",https://www.amazon.in//Amazon-Keyboard-Windows-Interface-Computer/dp/B09SPQ4ZWT/ref=sr_1_18?crid=309P6O4N3SM5C&keywords=keyboard&qid=1667665610&qu=eyJxc2MiOiI1LjU1IiwicXNhIjoiNC43NiIsInFzcCI6IjMuODEifQ%3D%3D&sprefix=keyboar%2Caps%2C272&sr=8-18
,"2,994.",4.5 out of 5,"Monday, 7 November",https://www.amazon.in//Logitech-920-007596-Multi-Device-Bluetooth-Keyboard/dp/B0148NPH9I/ref=sr_1_19?crid=309P6O4N3SM5C&keywords=keyboard&qid=1667665610&qu=eyJxc2MiOiI1LjU1IiwicXNhIjoiNC43NiIsInFzcCI6IjMuODEifQ%3D%3D&sprefix=keyboar%2Caps%2C272&sr=8-19
,699.,3.5 out of 5,"Monday, 7 November",https://www.amazon.in//Zebronics-Zeb-Companion-107-Wireless-Keyboard/dp/B087FXHB6J/ref=sr_1_20?crid=309P6O4N3SM5C&keywords=keyboard&qid=1667665610&qu=eyJxc2MiOiI1LjU1IiwicXNhIjoiNC43NiIsInFzcCI6IjMuODEifQ%3D%3D&sprefix=keyboar%2Caps%2C272&sr=8-20
